Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
LD1014D_393, LD1014D_393, 1.5, 2.5, -0.7002, 8.111, 2.063, 3.932, 40
LD1014D_394, LD1014D_394, 1.5, 1.5, nan, 8.433, 2.322, 3.631, 40
LD1014D_394, LD1014D_394, 1.5, 1.833, nan, 8.433, 2.322, 3.631, 40
LD1014D_394, LD1014D_394, 1.5, 2.167, -0.9928, 8.435, 2.324, 3.63, 40
LD1014D_394, LD1014D_394, 1.5, 2.5, -0.9441, 8.473, 2.339, 3.622, 40
LD1014D_395, LD1014D_395, 1.5, 1.5, -0.8786, 9.043, 1.43, 6.326, 40
LD1014D_395, LD1014D_395, 1.5, 1.833, -0.8418, 9.048, 1.524, 5.938, 40
LD1014D_395, LD1014D_395, 1.5, 2.167, -0.81, 9.055, 1.608, 5.63, 40
LD1014D_395, LD1014D_395, 1.5, 2.5, -0.7732, 9.064, 1.693, 5.353, 40
LD1014D_396, LD1014D_396, 1.5, 1.5, -0.6, 3.175, 1.504, 2.112, 40
LD1014D_396, LD1014D_396, 1.5, 1.833, -0.6, 3.175, 1.504, 2.112, 40
LD1014D_396, LD1014D_396, 1.5, 2.167, nan, 3.175, 1.504, 2.112, 40
LD1014D_396, LD1014D_396, 1.5, 2.5, nan, 3.175, 1.504, 2.112, 40
LD1014D_3, LD1014D_3, 1.5, 1.5, -1.181, 11.85, 2.71, 4.372, NA
LD1014D_3, LD1014D_3, 1.5, 1.833, -1.153, 12.42, 3.142, 3.952, NA
LD1014D_3, LD1014D_3, 1.5, 2.167, -1.126, 13.21, 3.382, 3.908, NA
LD1014D_3, LD1014D_3, 1.5, 2.5, -1.103, 13.7, 3.581, 3.826, NA
LD1014D_400, LD1014D_400, 1.5, 1.5, nan, 8.325, 2.016, 4.129, 40
LD1014D_400, LD1014D_400, 1.5, 1.833, -0.9645, 8.366, 2.037, 4.108, 40
LD1014D_400, LD1014D_400, 1.5, 2.167, -0.9156, 8.42, 2.072, 4.064, 40
LD1014D_400, LD1014D_400, 1.5, 2.5, -0.8667, 8.463, 2.113, 4.004, 40
LD1014D_401, LD1014D_401, 1.5, 1.5, -0.8403, 8.349, 1.358, 6.149, 40
LD1014D_401, LD1014D_401, 1.5, 1.833, -0.8079, 8.408, 1.44, 5.839, 40
LD1014D_401, LD1014D_401, 1.5, 2.167, -0.7668, 8.472, 1.524, 5.559, 40
LD1014D_401, LD1014D_401, 1.5, 2.5, -0.7235, 8.539, 1.609, 5.306, 40
